X,Y,Theta
3.58,85.49,6.14
3.69,85.47,6.32
3.79,85.46,6.5
3.9,85.44,6.68
4,85.43,6.86
4.11,85.41,7.04
4.21,85.4,7.22
4.32,85.38,7.4
4.42,85.37,7.58
4.53,85.35,7.76
4.63,85.34,7.94
4.74,85.32,8.12
4.84,85.31,8.3
4.95,85.29,8.48
5.05,85.28,8.66
5.16,85.26,8.84
5.26,85.25,9.02
5.37,85.23,9.2
5.47,85.22,9.38
5.58,85.2,9.56
5.68,85.19,9.74
5.79,85.17,9.92
5.89,85.16,10.1
6,85.14,10.28
6.1,85.13,10.46
6.21,85.11,10.64
6.31,85.1,10.82
6.42,85.08,11
6.52,85.07,11.18
6.63,85.05,11.36
6.73,85.04,11.54
6.84,85.02,11.72
6.94,85.01,11.9
7.04,84.99,12.24
7.11,84.98,12.75
7.19,84.96,13.26
7.26,84.95,13.77
7.34,84.93,14.28
7.41,84.92,14.79
7.49,84.9,15.3
7.56,84.89,15.81
7.64,84.87,16.32
7.71,84.86,16.83
7.79,84.84,17.34
7.86,84.83,17.85
7.94,84.81,18.36
8.01,84.8,18.87
8.09,84.78,19.38
8.16,84.77,19.89
8.24,84.75,20.4
8.31,84.74,20.91
8.39,84.72,21.42
8.46,84.71,21.93
8.54,84.69,22.44
8.61,84.68,22.95
8.69,84.66,23.46
8.76,84.65,23.97
8.84,84.63,24.48
8.91,84.62,24.99
8.99,84.6,25.5
9.06,84.59,26.02
9.14,84.57,26.53
9.21,84.56,27.04
9.29,84.54,27.55
9.36,84.53,28.06
9.44,84.51,28.57
9.51,84.5,29.08
9.59,84.48,29.59
9.66,84.47,30.1
9.74,84.45,30.61
9.81,84.44,31.12
9.89,84.42,31.63
9.96,84.41,32.14
10.04,84.39,32.65
10.11,84.38,33.16
10.19,84.36,33.67
10.26,84.35,34.18
10.34,84.33,34.69
10.41,84.32,35.2
10.49,84.3,35.71
10.56,84.29,36.22
10.64,84.27,36.73
10.71,84.26,37.24
10.79,84.24,37.75
10.86,84.23,38.26
10.94,84.21,38.77
11.01,84.2,39.28
11.09,84.18,39.79
11.16,84.17,40.3
11.24,84.15,40.81
11.31,84.14,41.32
11.39,84.12,41.83
11.46,84.11,42.34
11.54,84.09,42.85
11.61,84.08,43.36
11.69,84.06,43.87
11.76,84.05,44.38
11.84,84.03,44.89
11.91,84.02,45.4
11.99,84,45.91
12.15,83.95,46.1
12.33,83.89,46.22
12.51,83.83,46.34
12.69,83.77,46.46
12.87,83.71,46.58
13.05,83.65,46.7
13.23,83.59,46.82
13.41,83.53,46.94
13.59,83.47,47.06
13.77,83.41,47.18
13.95,83.35,47.3
14.13,83.29,47.42
14.31,83.23,47.54
14.49,83.17,47.66
14.67,83.11,47.78
14.85,83.05,47.9
15.03,82.99,48.02
15.21,82.93,48.14
15.39,82.87,48.26
15.57,82.81,48.38
15.75,82.75,48.5
15.93,82.69,48.62
16.11,82.63,48.74
16.29,82.57,48.86
16.47,82.51,48.98
16.65,82.45,49.1
16.83,82.39,49.22
17.01,82.33,49.34
17.19,82.27,49.46
17.37,82.21,49.58
17.55,82.15,49.7
17.73,82.09,49.82
17.91,82.03,49.94
18.09,81.97,50.06
18.27,81.91,50.18
18.45,81.85,50.3
18.63,81.79,50.42
18.81,81.73,50.54
18.99,81.67,50.66
19.17,81.61,50.78
19.35,81.55,50.9
19.53,81.49,51.02
19.71,81.43,51.14
19.89,81.37,51.26
20.07,81.31,51.38
20.25,81.25,51.5
20.43,81.19,51.62
20.61,81.13,51.74
20.79,81.07,51.86
20.97,81.01,51.98
21.15,80.95,52.1
21.33,80.89,52.22
21.51,80.83,52.34
21.69,80.77,52.46
21.87,80.71,52.58
22.06,80.65,52.7
22.24,80.59,52.82
22.42,80.53,52.94
22.6,80.47,53.06
22.78,80.41,53.18
22.96,80.35,53.3
23.14,80.29,53.42
23.32,80.23,53.54
23.5,80.17,53.66
23.68,80.11,53.78
23.86,80.05,53.9
24.03,79.98,54.01
24.16,79.91,54.07
24.3,79.83,54.13
24.43,79.76,54.19
24.57,79.68,54.25
24.7,79.61,54.31
24.84,79.53,54.37
24.97,79.46,54.43
25.11,79.38,54.49
25.24,79.31,54.55
25.38,79.23,54.61
25.51,79.16,54.67
25.65,79.08,54.73
25.78,79.01,54.79
25.92,78.93,54.85
26.05,78.86,54.91
26.19,78.78,54.97
26.32,78.71,55.03
26.46,78.63,55.09
26.59,78.56,55.15
26.73,78.48,55.21
26.86,78.41,55.27
27,78.33,55.33
27.13,78.26,55.39
27.27,78.18,55.45
27.4,78.11,55.51
27.54,78.03,55.57
27.67,77.96,55.63
27.81,77.88,55.69
27.94,77.81,55.75
28.08,77.73,55.81
28.21,77.66,55.87
28.35,77.58,55.93
28.48,77.51,55.99
28.62,77.43,56.05
28.75,77.36,56.11
28.89,77.28,56.17
29.02,77.21,56.23
29.16,77.13,56.29
29.29,77.06,56.35
29.43,76.98,56.41
29.56,76.91,56.47
29.7,76.83,56.53
29.83,76.76,56.59
29.97,76.68,56.65
30.11,76.61,56.71
30.24,76.53,56.77
30.38,76.46,56.83
30.51,76.38,56.89
30.65,76.31,56.95
30.78,76.23,57.01
30.92,76.16,57.07
31.05,76.08,57.13
31.19,76.01,57.19
31.32,75.93,57.25
31.46,75.86,57.31
31.59,75.78,57.37
31.73,75.71,57.43
31.86,75.63,57.49
32,75.56,57.55
32.13,75.48,57.61
32.27,75.41,57.67
32.4,75.33,57.73
32.54,75.26,57.79
32.67,75.18,57.85
32.81,75.11,57.91
32.94,75.03,57.97
33.05,74.96,58.03
33.14,74.88,58.09
33.23,74.81,58.15
33.32,74.73,58.21
33.41,74.66,58.27
33.5,74.58,58.33
33.59,74.51,58.39
33.68,74.43,58.45
33.77,74.36,58.51
33.86,74.28,58.57
33.95,74.21,58.63
34.04,74.13,58.69
34.13,74.06,58.75
34.22,73.98,58.81
34.31,73.91,58.87
34.4,73.83,58.93
34.49,73.76,58.99
34.58,73.68,59.05
34.67,73.61,59.11
34.76,73.53,59.17
34.85,73.46,59.23
34.94,73.38,59.29
35.03,73.31,59.35
35.12,73.23,59.41
35.21,73.16,59.47
35.3,73.08,59.53
35.39,73.01,59.59
35.48,72.93,59.65
35.57,72.86,59.71
35.66,72.78,59.77
35.75,72.71,59.83
35.84,72.63,59.89
35.93,72.56,59.95
36.02,72.48,60.02
36.11,72.41,60.08
36.2,72.33,60.14
36.29,72.26,60.2
36.38,72.18,60.26
36.47,72.11,60.32
36.56,72.03,60.38
36.65,71.96,60.44
36.74,71.88,60.5
36.83,71.81,60.56
36.92,71.73,60.62
37.01,71.66,60.68
37.1,71.58,60.74
37.19,71.51,60.8
37.28,71.43,60.86
37.37,71.36,60.92
37.46,71.28,60.98
37.55,71.21,61.04
37.64,71.13,61.1
37.73,71.06,61.16
37.82,70.98,61.22
37.91,70.91,61.28
38,70.83,61.34
38.09,70.76,61.4
38.18,70.68,61.46
38.27,70.61,61.52
38.36,70.53,61.58
38.45,70.46,61.64
38.54,70.38,61.7
38.63,70.31,61.76
38.72,70.23,61.82
38.81,70.16,61.88
38.9,70.08,61.94
38.99,70.01,62
39.08,69.93,62.11
39.17,69.85,62.23
39.26,69.78,62.35
39.35,69.7,62.47
39.44,69.63,62.59
39.53,69.55,62.71
39.62,69.48,62.83
39.71,69.4,62.95
39.8,69.33,63.07
39.89,69.25,63.19
39.98,69.18,63.31
40.07,69.1,63.43
40.16,69.03,63.55
40.25,68.95,63.67
40.34,68.88,63.79
40.43,68.8,63.91
40.52,68.73,64.03
40.61,68.65,64.15
40.7,68.58,64.27
40.79,68.5,64.39
40.88,68.43,64.51
40.97,68.35,64.63
41.07,68.28,64.75
41.16,68.2,64.87
41.25,68.13,64.99
41.34,68.05,65.11
41.43,67.98,65.23
41.52,67.9,65.35
41.61,67.83,65.47
41.7,67.75,65.59
41.79,67.68,65.71
41.88,67.6,65.83
41.97,67.53,65.95
42.06,67.45,66.07
42.15,67.38,66.19
42.24,67.3,66.31
42.33,67.23,66.43
42.42,67.15,66.55
42.51,67.08,66.67
42.6,67,66.79
42.69,66.93,66.91
42.78,66.85,67.03
42.87,66.78,67.15
42.96,66.7,67.27
43.05,66.63,67.39
43.14,66.55,67.51
43.23,66.48,67.63
43.32,66.4,67.75
43.41,66.33,67.87
43.5,66.25,67.99
43.59,66.18,68.12
43.68,66.1,68.24
43.77,66.03,68.36
43.86,65.95,68.48
43.95,65.88,68.6
44.04,65.8,68.72
44.13,65.73,68.84
44.22,65.65,68.96
44.31,65.58,69.08
44.4,65.5,69.2
44.49,65.43,69.32
44.58,65.35,69.44
44.67,65.28,69.56
44.76,65.2,69.68
44.85,65.13,69.8
44.94,65.05,69.92
45.01,64.98,70.04
45.06,64.9,70.16
45.1,64.83,70.28
45.15,64.75,70.4
45.19,64.68,70.52
45.24,64.6,70.64
45.28,64.53,70.76
45.33,64.45,70.88
45.37,64.38,71
45.42,64.3,71.12
45.46,64.23,71.24
45.51,64.15,71.36
45.55,64.08,71.48
45.6,64,71.6
45.64,63.93,71.72
45.69,63.85,71.84
45.73,63.78,71.96
45.78,63.7,72.08
45.82,63.63,72.2
45.87,63.55,72.32
45.91,63.48,72.44
45.96,63.4,72.56
46,63.33,72.68
46.05,63.25,72.8
46.09,63.18,72.92
46.14,63.1,73.04
46.18,63.03,73.16
46.23,62.95,73.28
46.27,62.88,73.4
46.32,62.8,73.52
46.36,62.73,73.64
46.41,62.65,73.76
46.45,62.58,73.88
46.5,62.5,74
46.54,62.43,74.12
