X,Y
19.35,81.55
19.53,81.49
19.71,81.43
19.89,81.37
20.07,81.31
20.25,81.25
20.43,81.19
20.61,81.13
20.79,81.07
20.97,81.01
21.15,80.95
21.33,80.89
21.51,80.83
21.69,80.77
21.87,80.71
22.06,80.65
22.24,80.59
22.42,80.53
22.6,80.47
22.78,80.41
22.96,80.35
23.14,80.29
23.32,80.23
23.5,80.17
23.68,80.11
23.86,80.05
24.03,79.98
24.16,79.91
24.3,79.83
24.43,79.76
24.57,79.68
24.7,79.61
24.84,79.53
24.97,79.46
25.11,79.38
25.24,79.31
25.38,79.23
25.51,79.16
25.65,79.08
25.78,79.01
25.92,78.93
26.05,78.86
26.19,78.78
26.32,78.71
26.46,78.63
26.59,78.56
26.73,78.48
26.86,78.41
27.0,78.33
27.13,78.26
27.27,78.18
27.4,78.11
27.54,78.03
27.67,77.96
27.81,77.88
27.94,77.81
28.08,77.73
28.21,77.66
28.35,77.58
28.48,77.51
28.62,77.43
28.75,77.36
28.89,77.28
29.02,77.21
29.16,77.13
29.29,77.06
29.43,76.98
29.56,76.91
29.7,76.83
29.83,76.76
29.97,76.68
30.11,76.61
30.24,76.53
30.38,76.46
30.51,76.38
30.65,76.31
30.78,76.23
30.92,76.16
31.05,76.08
31.19,76.01
31.32,75.93
31.46,75.86
31.59,75.78
31.73,75.71
31.86,75.63
32.0,75.56
32.13,75.48
32.27,75.41
32.4,75.33
32.54,75.26
32.67,75.18
32.81,75.11
32.94,75.03
33.05,74.96
33.14,74.88
33.23,74.81
33.32,74.73
33.41,74.66
33.5,74.58
33.59,74.51
33.68,74.43
33.77,74.36
33.86,74.28
33.95,74.21
34.04,74.13
34.13,74.06
34.22,73.98
34.31,73.91
34.4,73.83
34.49,73.76
34.58,73.68
34.67,73.61
34.76,73.53
34.85,73.46
34.94,73.38
35.03,73.31
35.12,73.23
35.21,73.16
35.3,73.08
35.39,73.01
35.48,72.93
35.57,72.86
35.66,72.78
35.75,72.71
35.84,72.63
35.93,72.56
36.02,72.48
36.11,72.41
36.2,72.33
36.29,72.26
36.38,72.18
36.47,72.11
36.56,72.03
36.65,71.96
36.74,71.88
36.83,71.81
36.92,71.73
37.01,71.66
37.1,71.58
37.19,71.51
37.28,71.43
37.37,71.36
37.46,71.28
37.55,71.21
37.64,71.13
37.73,71.06
37.82,70.98
37.91,70.91
38.0,70.83
38.09,70.76
38.18,70.68
38.27,70.61
38.36,70.53
38.45,70.46
38.54,70.38
38.63,70.31
38.72,70.23
38.81,70.16
38.9,70.08
38.99,70.01
39.08,69.93
39.17,69.85
39.26,69.78
39.35,69.7
39.44,69.63
39.53,69.55
39.62,69.48
39.71,69.4
39.8,69.33
39.89,69.25
39.98,69.18
40.07,69.1
40.16,69.03
40.25,68.95
40.34,68.88
40.43,68.8
40.52,68.73
40.61,68.65
40.7,68.58
40.79,68.5
40.88,68.43
40.97,68.35
41.07,68.28
41.16,68.2
41.25,68.13
41.34,68.05
41.43,67.98
41.52,67.9
41.61,67.83
41.7,67.75
41.79,67.68
41.88,67.6
41.97,67.53
42.06,67.45
42.15,67.38
42.24,67.3
42.33,67.23
42.42,67.15
42.51,67.08
42.6,67.0
42.69,66.93
42.78,66.85
42.87,66.78
42.96,66.7
43.05,66.63
43.14,66.55
43.23,66.48
43.32,66.4
43.41,66.33
43.5,66.25
43.59,66.18
43.68,66.1
43.77,66.03
43.86,65.95
43.95,65.88
44.04,65.8
44.13,65.73
44.22,65.65
44.31,65.58
44.4,65.5
44.49,65.43
44.58,65.35
44.67,65.28
44.76,65.2
44.85,65.13
44.94,65.05
45.01,64.98
45.06,64.9
45.1,64.83
45.15,64.75
45.19,64.68
45.24,64.6
45.28,64.53
45.33,64.45
45.37,64.38
45.42,64.3
45.46,64.23
45.51,64.15
45.55,64.08
45.6,64.0
45.64,63.93
45.69,63.85
45.73,63.78
45.78,63.7
45.82,63.63
45.87,63.55
