X,Y
53.82,-16.96
53.78,-17.04
53.73,-17.11
53.69,-17.19
53.64,-17.26
53.6,-17.34
53.55,-17.41
53.51,-17.49
53.46,-17.56
53.42,-17.64
53.37,-17.71
53.33,-17.79
53.28,-17.86
53.24,-17.94
53.19,-18.01
53.15,-18.09
53.1,-18.16
53.06,-18.24
53.01,-18.31
52.97,-18.39
52.92,-18.46
52.88,-18.54
52.83,-18.61
52.79,-18.69
52.74,-18.76
52.7,-18.84
52.65,-18.91
52.61,-18.99
52.56,-19.06
52.52,-19.14
52.47,-19.21
52.43,-19.29
52.38,-19.36
52.34,-19.44
52.29,-19.51
52.25,-19.59
52.2,-19.66
52.16,-19.74
52.11,-19.81
52.07,-19.89
52.02,-19.96
51.94,-20.04
51.84,-20.12
51.73,-20.19
51.63,-20.27
51.52,-20.34
51.42,-20.42
51.31,-20.49
51.21,-20.57
51.1,-20.64
51.0,-20.72
50.89,-20.79
50.79,-20.87
50.68,-20.94
50.58,-21.02
50.47,-21.09
50.37,-21.17
50.26,-21.24
50.16,-21.32
50.05,-21.39
49.95,-21.47
49.84,-21.54
49.74,-21.62
49.63,-21.69
49.53,-21.77
49.42,-21.84
49.32,-21.92
49.21,-21.99
49.11,-22.07
49.0,-22.14
48.9,-22.22
48.79,-22.29
48.69,-22.37
48.58,-22.44
48.48,-22.52
48.37,-22.59
48.27,-22.67
48.16,-22.74
48.06,-22.82
47.95,-22.89
47.85,-22.97
47.74,-23.04
47.64,-23.12
47.53,-23.19
47.43,-23.27
47.32,-23.34
47.22,-23.42
47.11,-23.49
47.01,-23.57
46.9,-23.64
46.8,-23.72
46.69,-23.79
46.59,-23.87
46.48,-23.94
46.38,-24.02
46.27,-24.09
46.17,-24.17
46.06,-24.24
45.96,-24.32
45.85,-24.39
45.75,-24.47
45.64,-24.54
45.54,-24.62
45.43,-24.69
45.33,-24.77
45.22,-24.84
45.12,-24.92
45.01,-24.99
44.95,-25.07
44.89,-25.14
44.83,-25.22
44.77,-25.29
44.71,-25.37
44.65,-25.44
44.59,-25.52
44.53,-25.59
44.47,-25.67
44.41,-25.74
44.35,-25.82
44.29,-25.89
44.23,-25.97
44.17,-26.04
44.11,-26.12
44.05,-26.19
43.99,-26.27
43.93,-26.34
43.87,-26.42
43.81,-26.49
43.75,-26.57
43.69,-26.64
43.63,-26.72
43.57,-26.79
43.51,-26.87
43.45,-26.94
43.39,-27.02
43.33,-27.09
43.27,-27.17
43.21,-27.24
43.15,-27.32
43.09,-27.39
43.03,-27.47
42.96,-27.54
42.9,-27.62
42.84,-27.69
42.78,-27.77
42.72,-27.84
42.66,-27.92
42.6,-27.99
42.54,-28.07
42.48,-28.14
42.42,-28.22
42.36,-28.29
42.3,-28.37
42.24,-28.44
42.18,-28.52
42.12,-28.59
42.06,-28.67
42.0,-28.74
41.94,-28.82
41.88,-28.89
41.82,-28.97
41.76,-29.04
41.7,-29.12
41.64,-29.19
41.58,-29.27
41.52,-29.34
41.46,-29.42
41.4,-29.49
41.34,-29.57
41.28,-29.64
41.22,-29.72
41.16,-29.79
41.1,-29.87
41.04,-29.94
40.99,-30.02
40.96,-30.1
40.93,-30.17
40.9,-30.25
40.87,-30.32
40.84,-30.4
40.81,-30.47
40.78,-30.55
40.75,-30.62
40.72,-30.7
40.69,-30.77
40.66,-30.85
40.63,-30.92
40.6,-31.0
40.57,-31.07
40.54,-31.15
40.51,-31.22
40.48,-31.3
40.45,-31.37
40.42,-31.45
40.39,-31.52
40.36,-31.6
40.33,-31.67
40.3,-31.75
40.27,-31.82
40.24,-31.9
40.21,-31.97
40.18,-32.05
40.15,-32.12
40.12,-32.2
40.09,-32.27
40.06,-32.35
40.03,-32.42
40.0,-32.5
39.97,-32.57
39.94,-32.65
39.91,-32.72
39.88,-32.8
39.85,-32.87
39.82,-32.95
39.79,-33.02
39.76,-33.1
39.73,-33.17
39.7,-33.25
39.67,-33.32
39.64,-33.4
39.61,-33.47
39.58,-33.55
39.55,-33.62
39.52,-33.7
39.49,-33.77
39.46,-33.85
39.43,-33.92
39.4,-34.0
39.37,-34.07
39.34,-34.15
39.31,-34.22
39.28,-34.3
39.25,-34.37
39.22,-34.45
39.19,-34.52
39.16,-34.6
39.13,-34.67
39.1,-34.75
39.07,-34.82
39.04,-34.9
39.01,-34.97
38.84,-35.02
38.58,-35.05
38.33,-35.08
38.07,-35.11
37.82,-35.14
37.56,-35.17
37.31,-35.2
37.05,-35.23
36.8,-35.26
36.54,-35.29
36.29,-35.32
36.03,-35.35
35.78,-35.38
35.52,-35.41
35.27,-35.44
35.01,-35.47
34.76,-35.5
34.5,-35.53
34.25,-35.56
33.99,-35.59
33.74,-35.62
33.48,-35.65
33.23,-35.68
32.97,-35.71
32.72,-35.74
32.46,-35.77
32.21,-35.8
31.95,-35.83
31.69,-35.86
31.44,-35.89
31.18,-35.92
30.93,-35.95
30.67,-35.98
30.42,-36.01
30.16,-36.04
29.91,-36.07
29.65,-36.1
29.4,-36.13
29.14,-36.16
28.89,-36.19
28.63,-36.22
28.38,-36.25
28.12,-36.28
27.87,-36.31
27.61,-36.34
27.36,-36.37
27.1,-36.4
26.85,-36.43
26.59,-36.46
26.34,-36.49
26.08,-36.52
25.83,-36.55
25.57,-36.58
25.32,-36.61
25.06,-36.64
24.81,-36.67
24.55,-36.7
24.3,-36.73
24.04,-36.76
23.79,-36.79
23.53,-36.82
23.28,-36.85
23.02,-36.88
22.77,-36.91
22.51,-36.94
22.26,-36.97
22.0,-37.0
